Date,High,Low,Close,Volume
2004/8/19,7954.814286,7144.814286,7582.814286,2232470333
2004/8/20,10673.38854,6279.987109,7060.987107,1140683565
2004/8/23,10564.38622,8945.997397,8980.997397,910070024.6
2004/8/24,11127.27962,4235.692276,4365.692276,762622311.4
2004/8/25,10517.12658,10018.79276,10230.79276,456667113.7
2004/8/26,10715.54092,1667.617357,1992.617357,351080781.1
2004/8/27,10032.70668,1484.88972,1530.88972,306116645.2
2004/8/30,9571.246859,-684.9610613,-684.9610613,259925591.8
2004/8/31,10179.38773,3912.931316,3933.931316,242544488.5
2004/9/1,10188.70769,3.038391975,61.03839198,455083444.3
2004/9/2,9985.016542,3647.512002,3904.512002,755393005.5
2004/9/3,9535.892796,8905.191168,8974.191168,253973911.3
2004/9/7,9252.623995,8859.994785,9056.994785,290396246.4
2004/9/8,9847.934002,7706.707863,7886.707863,247615411.8
2004/9/9,10053.90699,5255.61738,5386.617381,199888772.7
2004/9/10,10046.44401,4167.700733,4570.700733,433578747.3
2004/9/13,10423.24775,3997.400063,4101.400063,391674369.2
2004/9/14,10980.70127,642.0031347,1112.003135,538441982.3
2004/9/15,11302.55726,1613.412195,1793.412195,532625713.9
2004/9/16,10964.65955,1953.514928,2185.514928,459598403.9
2004/9/17,11008.71289,868.5210047,1262.521005,471667453.8
2004/9/20,11217.4756,3474.072361,3733.072361,531564739.6
2004/9/21,11659.66848,9005.272908,9038.272908,357259436.6
2004/9/22,11025.45276,5845.354421,6002.354421,379036305.9
2004/9/23,11534.81468,2625.185611,3005.185611,422032551.4
2004/9/24,12185.64959,8792.854628,8799.854628,452525741.2
2004/9/27,11508.34625,4326.222126,4372.222126,353379225.9
2004/9/28,12346.48804,10224.38538,10889.38538,844148296.9
2004/9/29,12703.0172,6089.98021,6574.98021,1526989266
2004/9/30,12808.47355,11153.22801,11213.22801,685531874.8
2004/10/1,12472.53514,11035.76495,11403.76495,755265297.2
2004/10/4,13386.00849,7456.321695,7559.321695,650666854.3
2004/10/5,13607.44314,10770.14664,11383.14664,744999791.7
2004/10/6,13091.70471,11387.94141,11495.94141,666883441.2
2004/10/7,13775.73415,11583.68272,11813.68272,706266240.9
2004/10/8,13425.70553,6398.374502,6469.374502,552817338.7
2004/10/11,13133.80611,5923.873797,6064.873797,519608591.1
2004/10/12,12971.65974,6764.448456,7164.448456,582994713.8
2004/10/13,14093.63151,11392.90005,11474.90005,985933246.3
2004/10/14,13864.254,5449.959524,5793.959524,518739367.7
2004/10/15,14110.84769,5948.719931,6164.719931,655363192.9
