Date,High,Low,Close,Volume
2004/8/19,97.21390973,89.11390973,93.49390973,22324721
2004/8/20,106.7338854,98.15388542,105.9638854,11406871
2004/8/23,105.6438622,101.2138622,101.5638622,9100712
2004/8/24,111.2727962,103.2427962,104.5427962,7626284
2004/8/25,105.1712658,101.0512658,103.1712658,4566672
2004/8/26,107.1554092,103.8654092,107.1154092,3510895
2004/8/27,100.3270668,97.3970668,97.8570668,3061249
2004/8/30,95.71246859,92.23246859,92.23246859,2599355
2004/8/31,101.7938773,100.2438773,100.4538773,2425506
2004/9/1,101.8870769,98.58707694,99.16707694,4550933
2004/9/2,99.85016542,96.42016542,98.99016542,7553990
2004/9/3,95.35892796,92.93892796,93.62892796,2539743
2004/9/7,92.52623995,90.13623995,92.10623995,2903964
2004/9/8,98.47934002,95.94934002,97.74934002,2476173
2004/9/9,100.5390699,98.82906989,100.1390699,1998934
2004/9/10,100.4644401,95.20444013,99.23444013,4335841
2004/9/13,104.2324775,102.2824775,103.3224775,3916806
2004/9/14,109.8070127,104.5970127,109.2970127,5384518
2004/9/15,113.0255726,108.9955726,110.7955726,5326350
2004/9/16,109.6465955,105.4965955,107.8165955,4596070
2004/9/17,110.0871289,106.1471289,110.0871289,4716772
2004/9/20,112.174756,107.344756,109.934756,5315720
2004/9/21,116.5966848,113.6866848,114.0166848,3572618
2004/9/22,110.2545276,107.3945276,108.9645276,3790412
2004/9/23,115.3481468,109.7381468,113.5381468,4220409
2004/9/24,121.8564959,117.5164959,117.5864959,4525287
2004/9/27,115.0834625,112.0034625,112.4634625,3533861
2004/9/28,123.4648804,116.2748804,122.9248804,8441497
2004/9/29,127.030172,118.240172,123.090172,15269950
2004/9/30,128.0847355,124.7847355,125.3847355,6855332
2004/10/1,124.7253514,119.3853514,123.0653514,7552662
2004/10/4,133.8600849,131.0200849,132.0500849,6506725
2004/10/5,136.0744314,129.7844314,135.9144314,7450020
2004/10/6,130.9170471,128.4670471,129.5470471,6668849
2004/10/7,137.7573415,134.4273415,136.7273415,7062681
2004/10/8,134.2570553,131.5970553,132.3070553,5528241
2004/10/11,131.3380611,126.3280611,127.7380611,5196153
2004/10/12,129.7165974,125.5065974,129.5065974,5830005
2004/10/13,140.9363151,137.4663151,138.2863151,9859356
2004/10/14,138.64254,134.82254,138.26254,5187474
2004/10/15,141.1084769,137.5584769,139.7184769,6553710
2004/10/18,145.1464848,137.1564848,145.1064848,6977096
2004/10/19,146.6164764,141.5664764,142.1564764,9034996
2004/10/20,142.3201472,132.9301472,133.8201472,11368839
